"id","status","root","extension","shape","actual","theory","required","omitted","duplicates","mute","open","fingers","barres","movement","representative","finding","alternative"
"full-emaj11","추가 검증 필요","E","maj11","0 0 1 1 0 2","E2 · A2 · D#3 · G#3 · B3 · F#4","E–G#–B–D#–F#–A","E–G#–B–D#–F#–A","없음","없음","없음","6,5,2","O O 2 2 O 3","1f / 4→3번줄 / 손가락2","개방 E 원형; 닫힌 형태는 검지+중지 바레가 필요한 별도 후보.","보류. 자연11을 포함한 표준 대표 운지 추가 검증 필요.","이론·실제 6음 일치. E 001102의 정확한 shape와 대표성에 대한 교차 교육 근거 미확보. maj11을 maj9#11로 바꿔서는 안 됨.","Cmaj11 x3343x [U], omit3/5. 출처는 있으나 3도 생략 허용과 명칭 구분 추가 검수"
"full-emaj13","추가 검증 필요","E","maj13","0 2 1 1 2 2","E2 · B2 · D#3 · G#3 · C#4 · F#4","E–G#–B–D#–F#–A–C#","E–G#–B–D#–F#–C#","A","없음","없음","6","O 3 2 2 4 4","1f / 4→3번줄 / 손가락2; 2f / 2→1번줄 / 손가락4","개방 E와 닫힌 6번줄 형태 별도 검수.","보류. 9도 강제 보존이 6현 형태 우선의 근거가 될 수 없음.","정확한 021122 교차 근거 부족. 자료의 E 021120과는 1번줄 음이 다름. 유사한 예를 동일 shape로 승인하지 않음.","Emaj13 021120 [E] 또는 Cmaj13 8x99(10)x [J/E]; 생략 내역 별도"
"shell-emaj13","추가 검증 필요","E","maj13","0 x 1 1 2 2","E2 · X · D#3 · G#3 · C#4 · F#4","E–G#–B–D#–F#–A–C#","E–G#–D#–F#–C#","B·A","없음","5","6","O X 2 2 3 3","1f / 4→3번줄 / 손가락2; 2f / 2→1번줄 / 손가락3","6번줄 루트 이동형 후보.","4현 기본형과 5현 변형의 우선순위 보류.","[E]의 6번줄 maj13 및 1번줄 추가 바레 설명과 부합. [J]는 1번줄 없는 형을 확인. 정확한 5현 형태의 독립 교차 확인 부족.","Cmaj13 8x99(10)x [J/E], omit5/9/11"
"a-seven-flat-five","추가 검증 필요","C","7b5","x 3 4 3 5 x","X · C3 · Gb3 · Bb3 · E4 · X","C–E–Gb–Bb","C–E–Gb–Bb","없음","없음","6,1","없음","X 1 2 1 3 X","3f / 5→3번줄 / 손가락1","5번줄 루트 이동형 후보.","보류; 6번줄 확인형과 루트별 비교 필요.","[H] 비교 섹션의 음 배치는 일치. 정확한 x3435x의 독립 기타 도표 추가 확인 필요. 검지 부분바레 자체는 성립.","C7b5 8x897x [V/H]"
"e-seven-flat-five","유지 가능","C","7b5","8 x 8 9 7 x","C3 · X · Bb3 · E4 · Gb4 · X","C–E–Gb–Bb","C–E–Gb–Bb","없음","없음","5,1","없음","2 X 3 4 1 X","없음","6번줄 루트 이동형.","기본 이동형 가능. C의 8프렛을 무조건 대표 1구간으로 지정하지 않음.","Guitar World 도표 8x897x와 [H] 6번줄 음 배열 교차 확인. 4손가락, 5번줄과 1번줄 뮤트.","동일 C7b5 8x897x 유지 후보"
"a-seven-sharp-five","추가 검증 필요","C","7#5","x 3 6 3 5 x","X · C3 · G#3 · Bb3 · E4 · X","C–E–G#–Bb","C–E–G#–Bb","없음","없음","6,1","없음","X 1 4 1 3 X","3f / 5→3번줄 / 손가락1","5번줄 루트 이동형 후보.","기본 대표성 보류. 3프렛 벌림 자체로 불가능 판정하지 않음.","현재 x3635x는 5–3프렛 사이 바레를 유지하며 4번줄 6f를 요구. [I]의 A x03021과도 다른 형태. 이론 일치만 확인.","C7#5 8x899x [I], A7#5 x03021 [I]; 다른 생략 없는 후보"
"e-seven-sharp-five","추가 검증 필요","E","7#5","0 x 0 1 1 0","E2 · X · D3 · G#3 · B#3 · E4","E–G#–B#–D","E–G#–B#–D","없음","E×2","5","6,4,1","O X O 2 2 O","1f / 3→2번줄 / 손가락2","6번줄 루트; 개방 원형/닫힌 이중 바레 분리 필요.","중복 루트 추가형의 대표성 보류.","현재 E 0x0110은 루트를 1번줄에 중복. [I]의 6번줄 4음 형태와 1번줄이 달라 동일 shape로 확인하지 않음.","C7#5 8x899x [I] (1번줄 뮤트, 생략 없음)"
"e-seven-flat-nine","추가 검증 필요","E","7b9","0 2 0 1 0 1","E2 · B2 · D3 · G#3 · B3 · F4","E–G#–B–D–F","E–G#–B–D–F","없음","B×2","없음","6,4,2","O 3 O 2 O 4","없음","6번줄 루트 이동 후보; 개방 E 별도 검수.","보류. 모든 음 포함 6현보다 사전의 4/5현 형태도 검토.","정확한 E 020101의 교육 자료 교차 근거 부족. [J]의 8x8989는 5번줄이 뮤트인 별도 voicing. 개방형이 쉽다는 이유로 이동형까지 승인 불가.","C7b9 x3232x [V] omit5 또는 8x8989 [J/W] 생략 없음"
"a-seven-flat-nine","추가 검증 필요","C","7b9","x 3 2 3 2 3","X · C3 · E3 · Bb3 · Db4 · G4","C–E–G–Bb–Db","C–E–G–Bb–Db","없음","없음","6","없음","X 2 1 3 1 4","2f / 4→2번줄 / 손가락1","5번줄 루트; 검지 D/B 바레 위 G는 더 높은 음. 정상 구조이나 독립 실기 검수 필요.","5도 추가 5현 형태와 기본 4현의 대표 순위 보류.","x32323의 정확한 발음은 ChordWizard/Gock에서 확인. [V]의 연주 도표는 x3232x로 1번줄이 다름. 수학적 매칭 자료와 연주 근거를 구별.","C7b9 x3232x [V] omit5; 현재 x32323은 보존 검토 후보"
"e-seven-sharp-nine","추가 검증 필요","E","7#9","0 2 0 1 3 3","E2 · B2 · D3 · G#3 · D4 · F##4","E–G#–B–D–F##","E–G#–B–D–F##","없음","D×2","없음","6,4","O 3 O 2 4 4","3f / 2→1번줄 / 손가락4","개방 E 별도, 닫힌 이동형 3프렛 벌림과 바레 검증 필요.","E 개방형 보존 후보; 전체 루트 대표성 보류.","E 020133은 [K] 개방형 항목과 정확히 일치. [J] 이동형과는 5번줄 및 상단 중복이 달라 전 루트 공통 운지로 승인하지 않음.","C7#9 x3234x [J/K] omit5"
"a-seven-sharp-nine","추가 검증 필요","C","7#9","x 3 2 3 4 3","X · C3 · E3 · Bb3 · D#4 · G4","C–E–G–Bb–D#","C–E–G–Bb–D#","없음","없음","6","없음","X 2 1 3 4 3","3f / 3→1번줄 / 손가락3","5번줄 루트 이동형 후보.","기본 4음형보다 우선할 근거 미확보.","현재 x32343은 유명 x3234x에 1번줄 5도를 추가. 약지 G~E 바레 중 B는 소지로 더 높은 fret. 구조상 모순 없으나 동일 교육 도표 교차 근거 부족.","C7#9 x3234x [J/K] omit5. 3도 E와 #9 D# 모두 유지"
"a-six-nine","유지 가능","C","6/9","x 3 2 2 3 3","X · C3 · E3 · A3 · D4 · G4","C–E–G–A–D","C–E–G–A–D","없음","없음","6","없음","X 2 1 1 3 3","2f / 4→3번줄 / 손가락1; 3f / 2→1번줄 / 손가락3","5번줄 루트 이동형.","C6/9 기본 후보 가능. [J] x3223x와는 5도 유무를 구분.","Howard Wright의 정확한 x32233 예제와 별도 코드 도표 일치. D/G 검지 바레, B/E 약지 바레. 모든 구성음 포함.","동일 C6/9 x32233 유지 후보"
"e-six-nine","추가 검증 필요","G","6/9","3 2 2 2 3 x","G2 · B2 · E3 · A3 · D4 · X","G–B–D–E–A","G–B–D–E–A","없음","없음","1","없음","2 1 1 1 3 X","2f / 5→3번줄 / 손가락1","6번줄 루트 이동형 후보.","보류. 루트+검지 3줄 바레의 실제 음 분리 추가 검수.","3도 추가된 현재 32223x와 [J]의 3x223x 계열은 다른 줄 구성. 근접한 quartal 형태만으로 정확한 전현 운지 승인 불가.","C6/9 8x778x [J], omit3 아님: C–A–D–G로 실제 3도 누락 → 이 후보는 제외. C6/9 x32233 [L/Y] 채택 검토"
"full-em11","추가 검증 필요","E","m11","0 0 0 0 0 2","E2 · A2 · D3 · G3 · B3 · F#4","E–G–B–D–F#–A","E–G–B–D–F#–A","없음","없음","없음","6,5,4,3,2","O O O O O 3","없음","open E 원형과 6번줄 닫힌 이동형 구분.","E 개방 대안 보존 후보. 모든 루트 1구간으로는 보류.","E 000002를 [N]에서 정확히 확인. 5개 개방현은 쉬우나 이를 전 루트 바레로 만드는 근거는 별도.","E 000002 [N] 또는 E 000033 [N] omit5/9"
"am13","교체 필요","C","m13","x 3 1 3 3 5","X · C3 · Eb3 · Bb3 · D4 · A4","C–Eb–G–Bb–D–F–A","C–Eb–Bb–D–A","G·F","없음","6","없음","X 2 1 3 3 4","3f / 3→2번줄 / 손가락3","5번줄 루트 이동 후보이나 넓은 저포지션의 정상 운지 실증 미확보.","대표 1구간 배정 교체 필요. 악기/손 크기에 따라 불가능하다고 단정하지 않음.","현재 x31335는 1~5f에 걸친 5현 운지. 정적 모순은 없지만 기본 대표로 유지할 실전 근거 부족. 9도 의무 보존으로 선택 폭을 좁힌 정책 영향.","Cm13 x3x345 [O], omit5/9/11. 또는 Gm13 353355 [T], omit11"
"full-em13","추가 검증 필요","G","m13","3 5 3 3 5 5","G2 · D3 · F3 · Bb3 · E4 · A4","G–Bb–D–F–A–C–E","G–Bb–D–F–A–E","C","없음","없음","없음","1 3 1 1 4 4","3f / 6→3번줄 / 손가락1; 5f / 2→1번줄 / 손가락4","6번줄 루트 이동형 후보; 검지 바레와 상단 부분바레.","실사용 근거 있음. 일반 대표 순위는 보류.","Gm13 353355는 [T] 연주 예제의 6음 순서와 일치. [O]의 Am13 575575와 9도 포함 여부가 다름. 독립 동일형 교차 검증 부족.","Gm13 353355 [T] 보존 검토; Cm13 x3x345 [O]"
"shell-em13","추가 검증 필요","E","m13","0 x 0 0 2 2","E2 · X · D3 · G3 · C#4 · F#4","E–G–B–D–F#–A–C#","E–G–D–F#–C#","B·A","없음","5","6,4,3","O X O O 3 3","2f / 2→1번줄 / 손가락3","6번줄 루트 이동 후보; 중간 5번줄 뮤트.","관례상 가능과 대표 shape 승인을 구분해 보류.","[T]의 5도 생략 가능 설명은 관례 근거. 정확한 0x0022/이동형의 별도 교차 도표는 미확보.","Gm13 353355 [T] 또는 Cm13 x3x345 [O]"
"a-half-diminished","유지 가능","C","m7b5","x 3 4 3 4 x","X · C3 · Gb3 · Bb3 · Eb4 · X","C–Eb–Gb–Bb","C–Eb–Gb–Bb","없음","없음","6,1","없음","X 1 3 2 4 X","없음","5번줄 루트 이동형.","Cm7b5 기본 후보 가능. flat 코드명 parser 문제는 별도 미수정.","두 사전의 5번줄 형태가 일치. 각 음 4손가락, 바레 없음.","동일 Cm7b5 x3434x 유지 후보"
"e-half-diminished","유지 가능","C","m7b5","8 x 8 8 7 x","C3 · X · Bb3 · Eb4 · Gb4 · X","C–Eb–Gb–Bb","C–Eb–Gb–Bb","없음","없음","5,1","없음","2 X 3 3 1 X","8f / 4→3번줄 / 손가락3","6번줄 루트 이동형.","다른 포지션 기본 후보 가능. C에서 A형보다 자동 우선하지 않음.","두 사전의 6번줄 형태가 일치. 현재 D/G 약지 부분바레는 도표의 개별 손가락 대안과 구별. 음형 유지 가능, 손가락 선택은 후속 검수.","동일 Cm7b5 8x887x 유지 후보"
"a-diminished-seven","유지 가능","C","dim7","x 3 4 2 4 x","X · C3 · Gb3 · Bbb3 · Eb4 · X","C–Eb–Gb–Bbb","C–Eb–Gb–Bbb","없음","없음","6,1","없음","X 2 3 1 4 X","없음","5번줄 루트 이동형.","Cdim7 기본 후보 가능. 이명동음 대칭과 루트 기준 이름은 별도 유지.","사전 도표와 Bdim7 x2313x의 동일 이동형 확인. 네 손가락, 낮은 G와 높은 D/B를 분리.","동일 Cdim7 x3424x 유지 후보"
"e-diminished-seven","유지 가능","C","dim7","8 x 7 8 7 x","C3 · X · Bbb3 · Eb4 · Gb4 · X","C–Eb–Gb–Bbb","C–Eb–Gb–Bbb","없음","없음","5,1","없음","2 X 1 3 1 X","7f / 4→2번줄 / 손가락1","6번줄 루트 이동형.","기본 대체 포지션 가능. C의 고프렛을 무조건 1구간으로 삼지 않음.","두 자료의 6번줄 이동형 일치. 검지 D/B 부분바레 위 G는 높은 fret.","동일 Cdim7 8x787x 유지 후보"
